era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E0,2012,0.16623700373360895,0.5830951894845301,0.0,0.0,0.0,0.0,0.7158910531638176,0.0,0.0,0.0,0.1,0.289201851,0.0735612363
E0,2015,0.0,0.05,0.25,0.0,1.0,0.1,0.05,0.25,0.0,1.0,0.1,0.157648567,0.866084278
E0,2015,0.0,0.18027756377319945,0.0,0.0,0.0,0.0,0.18027756377319945,0.0,0.0,0.0,0.0,0.70824079,0.838442743
E0,2008,0.0,0.05,0.25,0.0,0.0,0.1,0.05,0.25,0.0,0.0,0.1,0.404430936,0.716137767
E0,2007,0.0,0.1118033988749895,0.25,0.25,0.0,0.0,0.1118033988749895,0.25,0.25,0.0,0.0,0.747943035,0.529070795
E0,2007,0.0,0.05,0.25,0.0,0.0,0.1,0.05,0.25,0.0,0.0,0.1,0.226760095,0.429829836
E0,2012,0.09200609215894673,0.30413812651491096,0.0,0.25,0.0,-0.1,0.21213203435596423,0.0,0.25,0.0,-0.1,0.651218704,0.402963221
E0,2011,0.17449175473430995,0.33541019662496846,0.0,0.0,0.0,-0.1,0.5099019513592784,0.0,0.0,0.0,-0.1,0.662185521,0.226862788
E0,2008,0.0,0.05,0.25,0.25,0.0,0.1,0.05,0.25,0.25,0.0,0.1,0.309612912,0.979191005
E0,2002,0.0,0.15811388300841897,0.0,0.0,1.0,0.1,0.15811388300841897,0.0,0.0,1.0,0.1,0.282342377,0.174326167
E0,2014,0.025877717507683584,0.20615528128088303,0.0,0.0,0.0,-0.1,0.18027756377319945,0.0,0.0,0.0,-0.1,0.272146573,0.276389509
E0,2001,1.1465670289590344,0.1,0.0,0.0,0.0,0.0,0.6519202405202649,0.0,0.0,1.0,-0.1,0.212335065,0.331175864
E0,2010,0.139878648098443,0.18027756377319945,0.0,0.0,0.0,-0.1,0.32015621187164245,0.0,0.0,0.0,-0.1,0.835927787,0.0353542119
E0,2015,1.0355172636393926,0.30413812651491096,0.0,0.0,0.0,-0.1,0.40311288741492746,0.25,0.0,1.0,-0.1,0.514793604,0.375543624
E0,2003,0.0,0.05,0.25,0.5,0.0,0.2,0.05,0.25,0.5,0.0,0.2,0.0311643131,0.854806006
E0,2001,0.0,0.07071067811865475,0.0,0.25,0.0,0.0,0.07071067811865475,0.0,0.25,0.0,0.0,0.457795465,0.917458653
E0,2014,0.0,0.07071067811865475,0.0,0.25,0.0,0.1,0.07071067811865475,0.0,0.25,0.0,0.1,0.600607832,0.872006178
E0,2001,0.0,0.21213203435596423,0.25,0.0,0.0,-0.1,0.21213203435596423,0.25,0.0,0.0,-0.1,0.470977279,0.27554214
E0,2015,0.17320508075688773,0.1414213562373095,0.0,0.0,0.0,-0.1,0.282842712474619,0.0,0.0,0.0,-0.2,0.744052141,0.444942087
E0,2012,0.3062999512120449,0.05,0.25,0.25,0.0,0.2,0.1118033988749895,0.25,0.25,0.0,-0.1,0.552146306,0.754958272
E0,2006,0.0,0.3535533905932738,0.0,0.0,0.0,0.1,0.3535533905932738,0.0,0.0,0.0,0.1,0.496535583,0.494434536
