era,year,dist_last,adj_opp,adj_own,is_corner_open,dens_delta
E0,2012,0.5830951894845301,0.0,0.0,0.0,0.0
E0,2015,0.05,0.25,0.0,1.0,0.1
E0,2015,0.18027756377319945,0.0,0.0,0.0,0.0
E0,2008,0.05,0.25,0.0,0.0,0.1
E0,2007,0.1118033988749895,0.25,0.25,0.0,0.0
E0,2007,0.05,0.25,0.0,0.0,0.1
E0,2012,0.30413812651491096,0.0,0.25,0.0,-0.1
E0,2011,0.33541019662496846,0.0,0.0,0.0,-0.1
E0,2008,0.05,0.25,0.25,0.0,0.1
E0,2002,0.15811388300841897,0.0,0.0,1.0,0.1
E0,2014,0.20615528128088303,0.0,0.0,0.0,-0.1
E0,2001,0.1,0.0,0.0,0.0,0.0
E0,2010,0.18027756377319945,0.0,0.0,0.0,-0.1
E0,2015,0.30413812651491096,0.0,0.0,0.0,-0.1
E0,2003,0.05,0.25,0.5,0.0,0.2
E0,2001,0.07071067811865475,0.0,0.25,0.0,0.0
E0,2014,0.07071067811865475,0.0,0.25,0.0,0.1
E0,2001,0.21213203435596423,0.25,0.0,0.0,-0.1
E0,2015,0.1414213562373095,0.0,0.0,0.0,-0.1
E0,2012,0.05,0.25,0.25,0.0,0.2
E0,2006,0.3535533905932738,0.0,0.0,0.0,0.1
E0,2014,0.29154759474226505,0.25,0.0,1.0,-0.1
E0,2000,0.1,0.0,0.5,1.0,0.0
E0,2012,0.5590169943749475,0.0,0.0,0.0,-0.1
E0,2012,0.8602325267042626,0.25,0.0,1.0,-0.1
E0,2000,0.1118033988749895,0.25,0.0,1.0,0.0
E0,2013,0.223606797749979,0.0,0.0,0.0,-0.1
E0,2012,0.07071067811865475,0.0,0.25,0.0,-0.3
E0,2008,0.05,0.25,0.0,0.0,0.0
E0,2014,0.31622776601683794,0.0,0.0,0.0,0.0
E0,2003,0.18027756377319945,0.0,0.0,1.0,0.0
E0,2013,0.1,0.25,0.25,0.0,-0.1
E0,2010,0.31622776601683794,0.25,0.0,0.0,-0.1
E0,2014,0.18027756377319945,0.25,0.0,1.0,0.0
E0,2006,0.05,0.5,0.0,0.0,-0.2
E0,2013,0.6,0.0,0.0,1.0,0.0
E0,2013,0.6324555320336759,0.25,0.0,0.0,-0.2
E0,2007,0.1,0.0,0.0,0.0,0.0
E0,2015,0.15811388300841897,0.0,0.0,0.0,0.1
E0,2000,0.05,0.25,0.0,1.0,0.0
E0,2015,0.20615528128088303,0.25,0.25,0.0,0.0
E0,2010,0.1118033988749895,0.25,0.0,0.0,0.0
E0,2008,0.07071067811865475,0.0,0.5,0.0,-0.1
E0,2000,0.1,0.0,0.0,0.0,0.0
E0,2008,0.25,0.0,0.0,0.0,0.0
E0,2001,0.2,0.0,0.0,0.0,0.0
E0,2010,0.05,0.25,0.0,0.0,0.0
E0,2000,0.30413812651491096,0.0,0.0,0.0,-0.2
E0,2003,0.07071067811865475,0.0,0.25,1.0,0.0
E0,2008,0.2549509756796392,0.0,0.0,0.0,0.0
E0,2007,0.41231056256176607,0.0,0.0,0.0,-0.1
E0,2012,0.21213203435596423,0.25,0.0,0.0,-0.1
E0,2008,0.05,0.25,0.0,0.0,0.0
E0,2001,0.1,0.0,0.25,1.0,0.0
E0,2006,0.1118033988749895,0.25,0.5,0.0,-0.1
E0,2007,0.15811388300841897,0.25,0.0,0.0,0.2
E0,2010,0.05,0.25,0.25,0.0,0.1
E0,2006,0.05,0.25,0.25,0.0,0.0
E0,2003,0.07071067811865475,0.0,0.25,0.0,-0.2
E0,2010,0.05,0.25,0.0,0.0,0.0
E0,2010,0.15811388300841897,0.25,0.0,0.0,0.1
E0,2011,0.3535533905932738,0.25,0.25,0.0,0.0
E0,2010,0.6363961030678927,0.0,0.0,0.0,-0.1
E0,2010,0.1,0.0,0.5,1.0,0.0
E0,2013,0.15811388300841897,0.25,0.75,0.0,0.3
E0,2001,0.31622776601683794,0.25,0.0,0.0,0.1
E0,2015,0.18027756377319945,0.0,0.0,0.0,0.1
E0,2005,0.15,0.0,0.0,0.0,-0.1
E0,2012,0.30413812651491096,0.5,0.0,1.0,-0.1
E0,2015,0.1118033988749895,0.25,0.0,0.0,-0.1
E0,2000,0.07071067811865475,0.0,0.25,0.0,0.1
E0,2010,0.223606797749979,0.0,0.0,0.0,0.1
E0,2001,0.07071067811865475,0.0,0.25,0.0,-0.1
E0,2015,0.21213203435596423,0.0,0.0,0.0,-0.1
E0,2009,0.3,0.0,0.0,0.0,0.0
E0,2015,0.1118033988749895,0.5,0.25,0.0,0.1
E0,2008,0.18027756377319945,0.0,0.0,0.0,-0.1
E0,2005,0.05,0.25,0.0,1.0,0.0
E0,2004,0.1118033988749895,0.0,0.25,0.0,0.1
E0,2007,0.05,0.25,0.25,0.0,-0.1
E0,2003,0.1,0.25,0.0,0.0,-0.2
E0,2015,0.05,0.25,0.0,1.0,0.0
E0,2007,0.5700877125495689,0.25,0.0,0.0,-0.2
E0,2011,0.1118033988749895,1.0,0.0,0.0,-0.1
E0,2011,0.07071067811865475,0.0,0.25,0.0,0.0
E0,2000,0.1,0.0,0.0,0.0,-0.1
E0,2001,0.1118033988749895,0.25,0.0,0.0,-0.1
