test_year,era,freq_bits,hist_bits,recency_bits,delta_hist,delta_recency,hist_vs_recency,n_pred
2005,E0,8.298245049474549,8.234960616563898,8.234960616563898,0.06328443291065078,0.06328443291065078,0.0,12496
2006,E0,8.297530547525392,8.259648114661895,8.28367335338745,0.037882432863497684,0.013857194137942841,-0.024025238725554843,12488
2007,E0,8.293723485501262,8.19946178740034,8.214934161995664,0.09426169810092233,0.07878932350559786,-0.015472374595324467,12484
2008,E0,8.299154376156869,8.209327775040542,8.236469880821238,0.0898266011163269,0.06268449533563114,-0.027142105780695758,12494
2009,E0,8.293555916417619,8.19166866051205,8.232594275889367,0.10188725590556835,0.06096164052825159,-0.04092561537731676,12497
2010,E0,8.294067092849907,8.204420267724593,8.241776517629908,0.08964682512531397,0.052290575219998914,-0.03735624990531505,12500
2011,E0,8.297359033422644,8.20756598551775,8.23163100122428,0.08979304790489451,0.06572803219836487,-0.024065015706529636,12500
2012,E0,8.296726799290816,8.192084763801981,8.221367196329933,0.1046420354888351,0.07535960296088362,-0.029282432527951485,12476
2013,E0,8.29491172666983,8.167515413612957,8.20208200844442,0.12739631305687205,0.09282971822540986,-0.03456659483146218,12500
2014,E0,8.296730235580249,8.155626770026497,8.213579263039165,0.1411034655537513,0.08315097254108395,-0.05795249301266736,12500
2015,E0,8.299879430317171,8.091509140503796,8.130007242098213,0.20837028981337546,0.16987218821895844,-0.03849810159441702,12500
2016,E1,8.289359015106236,8.058304613330062,8.1046526562649,0.23105440177617353,0.18470635884133557,-0.04634804293483796,12500
2017,E1,8.291906951795948,8.207708858603683,8.220801632540812,0.08419809319226523,0.07110531925513541,-0.01309277393712982,12500
2018,E2,8.302458847308126,8.248116831069309,8.25940593138094,0.054342016238816626,0.043052915927185964,-0.011289100311630662,12500
2019,E2,8.304099938152389,8.219453434320457,8.220760932380264,0.08464650383193195,0.08333900577212461,-0.0013074980598073438,12500
2020,E2,8.30172791083107,8.237864415800972,8.237864415800972,0.06386349503009825,0.06386349503009825,0.0,12500
2021,E2,8.296700111690228,8.151124529404573,8.159118476060527,0.14557558228565526,0.13758163562970083,-0.007993946655954431,12500
2022,E3,8.297226584312405,8.144182591835945,8.144182591835945,0.1530439924764604,0.1530439924764604,0.0,12500
2023,E3,8.296823211882261,8.172842154936893,8.186578005927418,0.1239810569453681,0.11024520595484333,-0.013735850990524767,12500
2024,E3,8.300773077688973,8.162651659728853,8.183968371934728,0.13812141796011979,0.11680470575424451,-0.021316712205875277,12500
2025,E3,8.297076256578091,8.119043605557982,8.161489946007737,0.1780326510201089,0.13558631057035342,-0.04244634044975548,12500
2026,E3,8.296412675395995,8.07189707510765,8.146080989679307,0.2245156002883455,0.1503316857166883,-0.07418391457165718,12500
