decade,label,total,JPN,KOR,CHN,INTL,unknown,region_entropy
1090,1090s,1,1,0,0,0,0,-0.0
1250,1250s,1,0,0,0,0,1,-0.0
1560,1560s,2,0,0,0,0,2,-0.0
1580,1580s,1,0,0,0,0,1,-0.0
1620,1620s,4,3,0,0,0,1,0.8112781244591328
1640,1640s,5,5,0,0,0,0,-0.0
1650,1650s,1,1,0,0,0,0,-0.0
1660,1660s,56,24,0,0,0,32,0.9852281360342515
1670,1670s,82,36,0,0,0,46,0.9892452969285004
1680,1680s,47,30,0,0,0,17,0.9440870182837794
1690,1690s,40,22,0,0,0,18,0.9927744539878083
1700,1700s,33,31,0,0,0,2,0.32984607020714635
1710,1710s,16,15,0,0,0,1,0.3372900666170139
1720,1720s,26,24,0,0,0,2,0.39124356362925566
1730,1730s,35,32,0,0,0,3,0.4220005168831531
1740,1740s,21,20,0,0,0,1,0.2761954276479391
1750,1750s,27,24,0,0,0,3,0.5032583347756457
1760,1760s,46,44,0,0,0,2,0.2580186686648155
1770,1770s,69,63,0,0,0,6,0.4262286569981449
1780,1780s,42,34,0,0,0,8,0.7024665512903903
1790,1790s,37,29,0,0,0,8,0.7531979910695014
1800,1800s,76,49,0,0,0,27,0.9386808697586007
1810,1810s,162,37,0,0,0,125,0.7752030268905998
1820,1820s,130,57,0,0,0,73,0.9890453237543657
1830,1830s,244,25,0,0,0,219,0.47674237527999647
1840,1840s,546,45,0,0,0,501,0.41064092713663863
1850,1850s,419,154,0,0,0,265,0.9487658779203214
1860,1860s,94,55,0,0,0,39,0.9789987370022761
1870,1870s,181,114,0,0,0,67,0.9507992717492203
1880,1880s,707,589,0,0,0,118,0.6505694994899666
1890,1890s,397,84,0,0,0,313,0.7445051150187123
1900,1900s,237,38,0,0,0,199,0.6351164767504011
1910,1910s,150,3,0,0,0,147,0.14144054254182067
1920,1920s,412,194,0,1,0,217,1.0198992921716776
1930,1930s,1426,1194,0,0,0,232,0.640712955322027
1940,1940s,644,585,0,0,0,59,0.4418373185218417
1950,1950s,1868,1668,0,0,0,200,0.49100336580139436
1960,1960s,10851,10721,0,0,0,130,0.0936535624196393
1970,1970s,12157,12145,1,0,0,11,0.011687426267010817
1980,1980s,9747,9640,1,0,99,7,0.09186309683423582
1990,1990s,9668,8635,296,67,660,10,0.6239304496043717
2000,2000s,11111,9198,1078,4,823,8,0.8419601009278702
2010,2010s,18710,14600,2255,970,858,27,1.0860371728226201
2020,2020s,14547,12175,1642,207,523,0,0.8299580658268795
