pattern,phase,phase_label,phase_start,phase_end,region,count,denominator,per_1000_games,first_year_in_phase,last_year_in_phase
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",pre,Pre-AI,1990,2015,JPN,0,27228,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",pre,Pre-AI,1990,2015,KOR,0,2720,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",pre,Pre-AI,1990,2015,CHN,0,512,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",shock,Shock,2016,2017,JPN,0,3936,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",shock,Shock,2016,2017,KOR,0,490,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",shock,Shock,2016,2017,CHN,0,409,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",diffusion,Diffusion,2018,2021,JPN,0,7527,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",diffusion,Diffusion,2018,2021,KOR,0,1114,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",diffusion,Diffusion,2018,2021,CHN,0,166,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",oracle,Oracle,2022,2025,JPN,0,8107,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",oracle,Oracle,2022,2025,KOR,0,891,0.0,,
"Bcp,Wpp,Bdc,Wpd,Beq,Wde,Bce,Wdd,Bcd,Wec,Bcf,Wdf,Bdg,Wcc,Bdb",oracle,Oracle,2022,2025,CHN,0,161,0.0,,
"Bcp,Wpp,Bdd,Wpc,Beq,Wcj,Bpe,Wqe,Bqf,Wqd,Bpg,Wnc,Bqk,Wqm,Bcl",pre,Pre-AI,1990,2015,JPN,0,27228,0.0,,
