pattern,first_seen,last_seen,peak_year,peak_usage,total_uses,n_years,adoption_lag,half_life,cross_region_lag,reuse_rate,n_regions
"Bqd,Wdp,Bcd,Wpp,Bnd,Wed,Bec,Wfc,Bdc,Wfd,Bcf,Wlc,Bjc,Wle,Bmc",2021,2023,2021,2,5,3,0,2,1,1.0,2
"Bpd,Wdp,Bpq,Wdd,Bcq,Wdq,Bcp,Wdo,Bbn,Wqc,Bqd,Wpc,Bod,Wnc,Bqn",2019,2025,2020,2,6,4,1,2,1,0.5714285714285714,2
"Bpd,Wdd,Bqp,Wdp,Bop,Wqc,Bpc,Wqd,Bqf,Wrf,Brg,Wqe,Bpf,Wpe,Boe",2020,2024,2024,3,5,3,4,0,1,0.6,2
"Bpd,Wdp,Bpp,Wdd,Bcq,Wdq,Bcp,Wdo,Bbn,Wqc,Bqd,Wpc,Bnc,Woc,Bod",2019,2025,2021,7,15,5,2,1,2,0.7142857142857143,2
"Bpd,Wdp,Bpp,Wdd,Bcq,Wdq,Bcp,Wdo,Bcn,Wqq,Bpq,Wqp,Bpo,Wrn,Bbm",2019,2025,2021,3,7,4,2,1,2,0.5714285714285714,2
"Bpd,Wdp,Bpq,Wdd,Bfq,Wqo,Bqm,Wop,Bpp,Wpo,Boo,Won,Bno,Wpm,Bmp",2019,2025,2019,2,6,5,0,1,,0.7142857142857143,1
"Bpd,Wdp,Bqp,Wdd,Bop,Wnc,Bqf,Wpc,Bqc,Wqb,Boc,Wpb,Bob,Wod,Bnb",2020,2024,2024,3,5,3,4,0,2,0.6,2
"Bpd,Wdp,Bpq,Wdd,Bcq,Wdq,Bcp,Wdo,Bbn,Wqc,Bqd,Wpc,Bod,Wnc,Bnd",2019,2025,2023,3,10,6,0,1,,0.8571428571428571,2
"Bqd,Wdd,Bpq,Wdp,Bnd,Wpo,Bqo,Wqn,Bqp,Wpn,Bnq,Wpj,Bfc,Wec,Bfd",2019,2025,2020,4,9,6,1,1,1,0.8571428571428571,3
"Bpd,Wdp,Bpq,Wdd,Bpo,Wqc,Bqd,Wpc,Bnc,Woc,Bod,Wnb,Bcq,Wdq,Bcp",2022,2024,2022,2,6,3,0,2,,1.0,1
