year,JPN,KOR,CHN,INTL,unknown,total,region_entropy
1094,1,0,0,0,0,1,-0.0
1253,0,0,0,0,1,1,-0.0
1561,0,0,0,0,1,1,-0.0
1566,0,0,0,0,1,1,-0.0
1582,0,0,0,0,1,1,-0.0
1625,0,0,0,0,1,1,-0.0
1626,1,0,0,0,0,1,-0.0
1628,1,0,0,0,0,1,-0.0
1629,1,0,0,0,0,1,-0.0
1645,1,0,0,0,0,1,-0.0
1646,1,0,0,0,0,1,-0.0
1647,1,0,0,0,0,1,-0.0
1648,1,0,0,0,0,1,-0.0
1649,1,0,0,0,0,1,-0.0
1653,1,0,0,0,0,1,-0.0
1660,1,0,0,0,0,1,-0.0
1661,0,0,0,0,1,1,-0.0
1664,1,0,0,0,0,1,-0.0
1665,1,0,0,0,1,2,1.0
1666,1,0,0,0,1,2,1.0
1667,3,0,0,0,2,5,0.9709505944546686
1668,4,0,0,0,11,15,0.8366407419411672
1669,13,0,0,0,16,29,0.9922666387194963
1670,8,0,0,0,7,15,0.9967916319816366
1671,4,0,0,0,1,5,0.7219280948873623
1672,2,0,0,0,5,7,0.863120568566631
1673,0,0,0,0,1,1,-0.0
1674,7,0,0,0,9,16,0.9886994082884974
1675,4,0,0,0,2,6,0.9182958340544896
1676,5,0,0,0,5,10,1.0
1677,0,0,0,0,1,1,-0.0
1678,3,0,0,0,11,14,0.74959525725948
1679,3,0,0,0,4,7,0.9852281360342515
1680,0,0,0,0,1,1,-0.0
1681,0,0,0,0,3,3,-0.0
1682,7,0,0,0,2,9,0.7642045065086203
1683,5,0,0,0,4,9,0.9910760598382222
1684,5,0,0,0,2,7,0.863120568566631
1685,7,0,0,0,2,9,0.7642045065086203
1687,1,0,0,0,2,3,0.9182958340544896
1688,2,0,0,0,1,3,0.9182958340544896
1689,3,0,0,0,0,3,-0.0
1690,3,0,0,0,0,3,-0.0
1691,1,0,0,0,1,2,1.0
1692,1,0,0,0,0,1,-0.0
1693,4,0,0,0,0,4,-0.0
1695,5,0,0,0,0,5,-0.0
1696,4,0,0,0,0,4,-0.0
1697,0,0,0,0,17,17,-0.0
1698,4,0,0,0,0,4,-0.0
1700,3,0,0,0,0,3,-0.0
1701,1,0,0,0,0,1,-0.0
1703,4,0,0,0,0,4,-0.0
1704,2,0,0,0,0,2,-0.0
1706,13,0,0,0,1,14,0.37123232664087563
1707,4,0,0,0,0,4,-0.0
1709,4,0,0,0,1,5,0.7219280948873623
1710,2,0,0,0,0,2,-0.0
1711,2,0,0,0,1,3,0.9182958340544896
1713,2,0,0,0,0,2,-0.0
1714,4,0,0,0,0,4,-0.0
1715,2,0,0,0,0,2,-0.0
1716,2,0,0,0,0,2,-0.0
1719,1,0,0,0,0,1,-0.0
1720,1,0,0,0,0,1,-0.0
1722,5,0,0,0,0,5,-0.0
1723,3,0,0,0,1,4,0.8112781244591328
1724,0,0,0,0,1,1,-0.0
1725,6,0,0,0,0,6,-0.0
1726,2,0,0,0,0,2,-0.0
1727,5,0,0,0,0,5,-0.0
1728,2,0,0,0,0,2,-0.0
1730,4,0,0,0,0,4,-0.0
1731,2,0,0,0,0,2,-0.0
1732,0,0,0,0,2,2,-0.0
1733,4,0,0,0,0,4,-0.0
1734,1,0,0,0,0,1,-0.0
1735,2,0,0,0,1,3,0.9182958340544896
1736,2,0,0,0,0,2,-0.0
1737,2,0,0,0,0,2,-0.0
1738,2,0,0,0,0,2,-0.0
1739,13,0,0,0,0,13,-0.0
1740,6,0,0,0,0,6,-0.0
1741,3,0,0,0,0,3,-0.0
1742,2,0,0,0,0,2,-0.0
1744,3,0,0,0,1,4,0.8112781244591328
1745,1,0,0,0,0,1,-0.0
1746,1,0,0,0,0,1,-0.0
1747,1,0,0,0,0,1,-0.0
1749,3,0,0,0,0,3,-0.0
1750,3,0,0,0,0,3,-0.0
1752,6,0,0,0,2,8,0.8112781244591328
1753,3,0,0,0,0,3,-0.0
1754,2,0,0,0,0,2,-0.0
1755,3,0,0,0,0,3,-0.0
1756,2,0,0,0,1,3,0.9182958340544896
1757,2,0,0,0,0,2,-0.0
1758,3,0,0,0,0,3,-0.0
1760,6,0,0,0,1,7,0.5916727785823275
1761,3,0,0,0,0,3,-0.0
1762,2,0,0,0,0,2,-0.0
1763,4,0,0,0,0,4,-0.0
1764,3,0,0,0,0,3,-0.0
1765,4,0,0,0,0,4,-0.0
1766,4,0,0,0,0,4,-0.0
1767,4,0,0,0,1,5,0.7219280948873623
1768,9,0,0,0,0,9,-0.0
1769,5,0,0,0,0,5,-0.0
1771,12,0,0,0,1,13,0.39124356362925566
1772,4,0,0,0,0,4,-0.0
1773,5,0,0,0,0,5,-0.0
1774,5,0,0,0,1,6,0.6500224216483541
1775,3,0,0,0,0,3,-0.0
1776,7,0,0,0,1,8,0.5435644431995964
1777,14,0,0,0,0,14,-0.0
1778,3,0,0,0,2,5,0.9709505944546686
1779,10,0,0,0,1,11,0.4394969869215134
1780,7,0,0,0,2,9,0.7642045065086203
1781,2,0,0,0,0,2,-0.0
1782,6,0,0,0,1,7,0.5916727785823275
1783,2,0,0,0,0,2,-0.0
1784,4,0,0,0,0,4,-0.0
1785,6,0,0,0,1,7,0.5916727785823275
1786,0,0,0,0,3,3,-0.0
1787,5,0,0,0,1,6,0.6500224216483541
1788,2,0,0,0,0,2,-0.0
1790,5,0,0,0,0,5,-0.0
1791,2,0,0,0,0,2,-0.0
1792,4,0,0,0,0,4,-0.0
1793,2,0,0,0,0,2,-0.0
1794,3,0,0,0,0,3,-0.0
1795,2,0,0,0,5,7,0.863120568566631
1796,4,0,0,0,0,4,-0.0
1798,5,0,0,0,0,5,-0.0
1799,2,0,0,0,3,5,0.9709505944546686
1801,6,0,0,0,0,6,-0.0
1802,3,0,0,0,2,5,0.9709505944546686
1803,3,0,0,0,4,7,0.9852281360342515
1804,3,0,0,0,1,4,0.8112781244591328
1805,0,0,0,0,1,1,-0.0
1806,6,0,0,0,0,6,-0.0
1807,15,0,0,0,1,16,0.3372900666170139
1808,8,0,0,0,0,8,-0.0
1809,5,0,0,0,18,23,0.7553754125614287
1810,2,0,0,0,14,16,0.5435644431995964
1811,0,0,0,0,4,4,-0.0
1812,25,0,0,0,12,37,0.9090221560878149
1813,2,0,0,0,27,29,0.362051251733998
1814,2,0,0,0,18,20,0.4689955935892812
1815,2,0,0,0,22,24,0.41381685030363374
1816,0,0,0,0,13,13,-0.0
1817,3,0,0,0,2,5,0.9709505944546686
1818,1,0,0,0,9,10,0.4689955935892812
1819,0,0,0,0,4,4,-0.0
1820,11,0,0,0,5,16,0.8960382325345574
1821,16,0,0,0,10,26,0.9612366047228759
1822,5,0,0,0,20,25,0.7219280948873623
1823,5,0,0,0,5,10,1.0
1824,0,0,0,0,5,5,-0.0
1825,7,0,0,0,1,8,0.5435644431995964
1826,4,0,0,0,6,10,0.9709505944546686
1827,0,0,0,0,5,5,-0.0
1828,7,0,0,0,13,20,0.934068055375491
1829,2,0,0,0,3,5,0.9709505944546686
1830,2,0,0,0,0,2,-0.0
1831,2,0,0,0,6,8,0.8112781244591328
1832,2,0,0,0,7,9,0.7642045065086203
1833,2,0,0,0,2,4,1.0
1834,3,0,0,0,2,5,0.9709505944546686
1835,2,0,0,0,18,20,0.4689955935892812
1836,5,0,0,0,15,20,0.8112781244591328
1837,1,0,0,0,32,33,0.19590927087360493
1838,0,0,0,0,64,64,-0.0
1839,6,0,0,0,73,79,0.3877431810559865
1840,2,0,0,0,21,23,0.4262286569981449
1841,4,0,0,0,58,62,0.345117314944953
1842,7,0,0,0,64,71,0.46451494409055205
1843,0,0,0,0,65,65,-0.0
1844,8,0,0,0,65,73,0.49867513632043436
1845,4,0,0,0,37,41,0.46121604051390946
1846,0,0,0,0,55,55,-0.0
1847,8,0,0,0,44,52,0.6193821946787638
1848,4,0,0,0,68,72,0.3095434291503252
1849,8,0,0,0,24,32,0.8112781244591328
1850,8,0,0,0,23,31,0.8238116333123173
1851,28,0,0,0,33,61,0.995148095654003
1852,12,0,0,0,14,26,0.9957274520849255
1853,31,0,0,0,24,55,0.9882836109919162
1854,0,0,0,0,30,30,-0.0
1855,4,0,0,0,7,11,0.9456603046006401
1856,4,0,0,0,39,43,0.44648134689680297
1857,21,0,0,0,60,81,0.8256265261578954
1858,10,0,0,0,24,34,0.8739810481273578
1859,36,0,0,0,11,47,0.7849920887641584
1860,8,0,0,0,14,22,0.9456603046006401
1861,36,0,0,0,3,39,0.39124356362925566
1862,1,0,0,0,2,3,0.9182958340544896
1863,8,0,0,0,0,8,-0.0
1865,0,0,0,0,3,3,-0.0
1866,0,0,0,0,14,14,-0.0
1867,0,0,0,0,2,2,-0.0
1868,0,0,0,0,1,1,-0.0
1869,2,0,0,0,0,2,-0.0
1870,11,0,0,0,7,18,0.964078764808229
1871,7,0,0,0,25,32,0.7578784625383954
1872,0,0,0,0,7,7,-0.0
1873,1,0,0,0,4,5,0.7219280948873623
1875,0,0,0,0,2,2,-0.0
1876,21,0,0,0,6,27,0.7642045065086203
1877,15,0,0,0,2,17,0.5225593745369408
1878,0,0,0,0,3,3,-0.0
1879,59,0,0,0,11,70,0.6274303352684106
1880,91,0,0,0,4,95,0.25186284771956513
1881,103,0,0,0,15,118,0.5494827677177796
1882,85,0,0,0,20,105,0.7024665512903903
1883,57,0,0,0,18,75,0.7950402793845223
1884,89,0,0,0,19,108,0.6710828900205286
1885,106,0,0,0,10,116,0.42368057157091055
1886,50,0,0,0,8,58,0.5787946246321198
1887,4,0,0,0,3,7,0.9852281360342515
1888,2,0,0,0,5,7,0.863120568566631
1889,2,0,0,0,16,18,0.5032583347756457
1890,4,0,0,0,31,35,0.512709142030877
1891,0,0,0,0,18,18,-0.0
1892,3,0,0,0,11,14,0.74959525725948
1893,3,0,0,0,18,21,0.5916727785823275
1894,2,0,0,0,17,19,0.4854607607459134
1895,11,0,0,0,13,24,0.9949848281859701
1896,11,0,0,0,47,58,0.7007495497162062
1897,20,0,0,0,64,84,0.7918583525674836
1898,16,0,0,0,61,77,0.7372413771710564
1899,14,0,0,0,33,47,0.8786744932173093
1900,14,0,0,0,32,46,0.8865408928220899
1901,1,0,0,0,27,28,0.222284830685688
1902,8,0,0,0,18,26,0.8904916402194913
1903,0,0,0,0,26,26,-0.0
1904,2,0,0,0,24,26,0.39124356362925566
1905,1,0,0,0,18,19,0.2974722489192896
1906,1,0,0,0,9,10,0.4689955935892812
1907,2,0,0,0,13,15,0.5665095065529053
1908,5,0,0,0,7,12,0.9798687566511528
1909,4,0,0,0,25,29,0.5787946246321198
1910,0,0,0,0,21,21,-0.0
1911,1,0,0,0,19,20,0.28639695711595625
1912,0,0,0,0,8,8,-0.0
1913,0,0,0,0,21,21,-0.0
1914,0,0,0,0,17,17,-0.0
1915,1,0,0,0,17,18,0.3095434291503252
1916,0,0,0,0,17,17,-0.0
1917,0,0,0,0,14,14,-0.0
1918,0,0,0,0,5,5,-0.0
1919,1,0,0,0,8,9,0.5032583347756457
1920,2,0,0,0,21,23,0.4262286569981449
1921,0,0,0,0,12,12,-0.0
1922,0,0,0,0,11,11,-0.0
1923,0,0,0,0,10,10,-0.0
1924,1,0,0,0,24,25,0.24229218908241482
1925,18,0,0,0,26,44,0.9760206482366149
1926,13,0,0,0,28,41,0.9011701959974223
1927,32,0,0,0,34,66,0.9993375041688847
1928,90,0,1,0,39,130,0.9423873114492359
1929,38,0,0,0,12,50,0.7950402793845223
1930,131,0,0,0,20,151,0.5641201360194283
1931,45,0,0,0,30,75,0.9709505944546686
1932,52,0,0,0,23,75,0.8892881527272397
1933,59,0,0,0,29,88,0.9144612916935675
1934,436,0,0,0,33,469,0.3672748768190677
1935,64,0,0,0,26,90,0.8672816222000259
1936,90,0,0,0,29,119,0.801135179035924
1937,99,0,0,0,17,116,0.6011432909108727
1938,77,0,0,0,13,90,0.5957610966703236
1939,141,0,0,0,12,153,0.39662777277837885
1940,92,0,0,0,7,99,0.3685567775377065
1941,117,0,0,0,13,130,0.4689955935892812
1942,57,0,0,0,11,68,0.6385146263620961
1943,49,0,0,0,2,51,0.23868451135100135
1944,32,0,0,0,7,39,0.6789538995185758
1945,14,0,0,0,3,17,0.6722948170756379
1946,69,0,0,0,2,71,0.1851247601005459
1947,43,0,0,0,7,50,0.584238811642856
1948,37,0,0,0,1,38,0.17556502585750278
1949,75,0,0,0,6,81,0.3809465857053901
1950,104,0,0,0,13,117,0.5032583347756457
1951,109,0,0,0,3,112,0.17800689613931447
1952,131,0,0,0,19,150,0.5482251174503202
1953,145,0,0,0,15,160,0.4488644887230294
1954,142,0,0,0,2,144,0.10559103637519526
1955,136,0,0,0,1,137,0.06230254712077371
1956,195,0,0,0,27,222,0.5340042729285397
1957,243,0,0,0,34,277,0.5371964080032811
1958,230,0,0,0,45,275,0.6429383500409614
1959,233,0,0,0,41,274,0.6089262293335606
1960,1027,0,0,0,26,1053,0.16702680404522807
1961,638,0,0,0,20,658,0.19636959519461236
1962,978,0,0,0,33,1011,0.20746790852802602
1963,1132,0,0,0,27,1159,0.1595664097259675
1964,1092,0,0,0,13,1105,0.09227724774457388
1965,1156,0,0,0,0,1156,-0.0
1966,1084,0,0,0,1,1085,0.010622589241890749
1967,1167,0,0,0,5,1172,0.039728848095531115
1968,1251,0,0,0,2,1253,0.017131227030208068
1969,1196,0,0,0,3,1199,0.02522988015893001
1970,1284,0,0,0,0,1284,-0.0
1971,1453,0,0,0,0,1453,-0.0
1972,1462,0,0,0,0,1462,-0.0
1973,1440,0,0,0,4,1444,0.027525069328492566
1974,1493,0,0,0,1,1494,0.008023545204986706
1975,1222,0,0,0,5,1227,0.038218186643406746
1976,1053,1,0,0,0,1054,0.010895322187423494
1977,911,0,0,0,0,911,-0.0
1978,968,0,0,0,1,969,0.011725803111874251
1979,859,0,0,0,0,859,-0.0
1980,849,1,0,0,1,851,0.026260901854552942
1981,931,0,0,0,0,931,-0.0
1982,1016,0,0,0,1,1017,0.011240992608217338
1983,983,0,0,0,0,983,-0.0
1984,957,0,0,0,0,957,-0.0
1985,974,0,0,0,0,974,-0.0
1986,850,0,0,0,0,850,-0.0
1987,948,0,0,0,1,949,0.011941200144871614
1988,1105,0,0,41,2,1148,0.24067129499676032
1989,1027,0,0,58,2,1087,0.31971735048620004
1990,1043,0,0,49,2,1094,0.2829795338439635
1991,1025,0,0,72,1,1098,0.3596076947825438
1992,988,0,0,82,3,1073,0.41686495098344845
1993,911,1,0,61,0,973,0.34963014000721193
1994,956,0,0,46,3,1005,0.29729082496143355
1995,957,0,0,52,0,1009,0.29288702015049667
1996,613,76,43,83,1,816,1.1999709682972963
1997,639,70,0,54,0,763,0.8008548148710908
1998,716,76,24,77,0,893,1.0031476627766145
1999,787,73,0,84,0,944,0.8149260377240775
2000,769,81,0,101,0,951,0.8940512606878711
2001,750,80,0,73,0,903,0.8255904505410325
2002,810,85,1,76,0,972,0.8243176684321938
2003,726,104,0,75,0,905,0.9115147352757836
2004,784,95,0,72,0,951,0.8435608361375247
2005,826,93,0,61,0,980,0.7796429681690554
