phase,phase_label,phase_start,phase_end,pair,distance,mean_pairwise_distance
pre,Pre-AI,1990,2015,JPN-KOR,0.010621,0.01057
pre,Pre-AI,1990,2015,JPN-CHN,0.01575,0.01057
pre,Pre-AI,1990,2015,KOR-CHN,0.005338,0.01057
shock,Shock,2016,2017,JPN-KOR,0.003315,0.007045
shock,Shock,2016,2017,JPN-CHN,0.009981,0.007045
shock,Shock,2016,2017,KOR-CHN,0.007838,0.007045
diffusion,Diffusion,2018,2021,JPN-KOR,0.014467,0.012084
diffusion,Diffusion,2018,2021,JPN-CHN,0.016065,0.012084
diffusion,Diffusion,2018,2021,KOR-CHN,0.005721,0.012084
oracle,Oracle,2022,2025,JPN-KOR,0.004907,0.006536
oracle,Oracle,2022,2025,JPN-CHN,0.008091,0.006536
oracle,Oracle,2022,2025,KOR-CHN,0.006612,0.006536
